block,mode,metric,delta_vs_full
1,no_history,task_success,-1.0
2,no_history,task_success,-1.0
3,no_history,task_success,-1.0
4,no_history,task_success,-1.0
5,no_history,task_success,-1.0
6,no_history,task_success,-1.0
7,no_history,task_success,-1.0
8,no_history,task_success,-1.0
9,no_history,task_success,-1.0
10,no_history,task_success,-1.0
11,no_history,task_success,-1.0
12,no_history,task_success,-1.0
13,no_history,task_success,-1.0
14,no_history,task_success,-1.0
15,no_history,task_success,-1.0
16,no_history,task_success,-1.0
17,no_history,task_success,-1.0
18,no_history,task_success,-1.0
19,no_history,task_success,-1.0
20,no_history,task_success,-1.0
21,no_history,task_success,-1.0
22,no_history,task_success,-1.0
23,no_history,task_success,-1.0
24,no_history,task_success,-1.0
25,no_history,task_success,-1.0
26,no_history,task_success,-1.0
27,no_history,task_success,-1.0
28,no_history,task_success,-1.0
29,no_history,task_success,-1.0
30,no_history,task_success,-1.0
1,no_history,local_context_total,-579.0
2,no_history,local_context_total,-582.0
3,no_history,local_context_total,-644.0
4,no_history,local_context_total,-610.0
5,no_history,local_context_total,-571.0
6,no_history,local_context_total,-473.0
7,no_history,local_context_total,-716.0
8,no_history,local_context_total,-712.0
9,no_history,local_context_total,-561.0
10,no_history,local_context_total,-407.0
11,no_history,local_context_total,-748.0
12,no_history,local_context_total,-602.0
13,no_history,local_context_total,-953.0
14,no_history,local_context_total,-540.0
15,no_history,local_context_total,-681.0
16,no_history,local_context_total,-788.0
17,no_history,local_context_total,-514.0
18,no_history,local_context_total,-363.0
19,no_history,local_context_total,-632.0
20,no_history,local_context_total,-751.0
21,no_history,local_context_total,-583.0
22,no_history,local_context_total,-678.0
23,no_history,local_context_total,-671.0
24,no_history,local_context_total,-167.0
25,no_history,local_context_total,-265.0
26,no_history,local_context_total,-742.0
27,no_history,local_context_total,-240.0
28,no_history,local_context_total,-638.0
29,no_history,local_context_total,-532.0
30,no_history,local_context_total,-789.0
1,no_history,task_wall_seconds,24.655999999959022
2,no_history,task_wall_seconds,25.42199999996228
3,no_history,task_wall_seconds,23.250000000058208
4,no_history,task_wall_seconds,18.155999999959022
5,no_history,task_wall_seconds,25.70299999997951
6,no_history,task_wall_seconds,22.344000000040978
7,no_history,task_wall_seconds,24.657000000064727
8,no_history,task_wall_seconds,18.51600000000326
9,no_history,task_wall_seconds,14.39100000000326
10,no_history,task_wall_seconds,18.01600000000326
11,no_history,task_wall_seconds,17.93800000002375
12,no_history,task_wall_seconds,19.31199999997625
13,no_history,task_wall_seconds,0.7039999999688007
14,no_history,task_wall_seconds,24.094000000040978
15,no_history,task_wall_seconds,15.686999999976251
16,no_history,task_wall_seconds,14.64100000000326
17,no_history,task_wall_seconds,21.95299999997951
18,no_history,task_wall_seconds,23.78100000001723
19,no_history,task_wall_seconds,45.77999999996973
20,no_history,task_wall_seconds,35.82699999999022
21,no_history,task_wall_seconds,30.81199999997625
22,no_history,task_wall_seconds,39.42200000002049
23,no_history,task_wall_seconds,54.17099999997299
24,no_history,task_wall_seconds,35.82800000003772
25,no_history,task_wall_seconds,34.96900000004098
26,no_history,task_wall_seconds,38.125
27,no_history,task_wall_seconds,26.610000000044238
28,no_history,task_wall_seconds,11.296999999962281
29,no_history,task_wall_seconds,32.48399999999674
30,no_history,task_wall_seconds,12.875
1,no_history,cost_cny,0.08150000000000002
2,no_history,cost_cny,0.086364
3,no_history,cost_cny,0.072984
4,no_history,cost_cny,0.062072000000000016
5,no_history,cost_cny,0.07694399999999998
6,no_history,cost_cny,0.06730400000000002
7,no_history,cost_cny,0.05353599999999997
8,no_history,cost_cny,0.051232
9,no_history,cost_cny,0.049652
10,no_history,cost_cny,0.059824
11,no_history,cost_cny,0.041212
12,no_history,cost_cny,0.042707999999999996
13,no_history,cost_cny,-0.01691999999999999
14,no_history,cost_cny,0.06756400000000001
15,no_history,cost_cny,0.045652
16,no_history,cost_cny,0.046712000000000004
17,no_history,cost_cny,0.078492
18,no_history,cost_cny,0.07613600000000001
19,no_history,cost_cny,0.046915999999999985
20,no_history,cost_cny,0.06895200000000001
21,no_history,cost_cny,0.055012000000000005
22,no_history,cost_cny,0.08987599999999998
23,no_history,cost_cny,0.08126799999999998
24,no_history,cost_cny,0.08883999999999999
25,no_history,cost_cny,0.11909599999999998
26,no_history,cost_cny,0.04181599999999999
27,no_history,cost_cny,0.08078000000000002
28,no_history,cost_cny,0.05695999999999998
29,no_history,cost_cny,0.09213199999999999
30,no_history,cost_cny,0.025892
1,no_history,tool_action_count,11.0
2,no_history,tool_action_count,11.0
3,no_history,tool_action_count,11.0
4,no_history,tool_action_count,11.0
5,no_history,tool_action_count,11.0
6,no_history,tool_action_count,11.0
7,no_history,tool_action_count,11.0
8,no_history,tool_action_count,11.0
9,no_history,tool_action_count,11.0
10,no_history,tool_action_count,11.0
11,no_history,tool_action_count,11.0
12,no_history,tool_action_count,11.0
13,no_history,tool_action_count,11.0
14,no_history,tool_action_count,11.0
15,no_history,tool_action_count,11.0
16,no_history,tool_action_count,11.0
17,no_history,tool_action_count,11.0
18,no_history,tool_action_count,11.0
19,no_history,tool_action_count,11.0
20,no_history,tool_action_count,11.0
21,no_history,tool_action_count,11.0
22,no_history,tool_action_count,11.0
23,no_history,tool_action_count,11.0
24,no_history,tool_action_count,11.0
25,no_history,tool_action_count,11.0
26,no_history,tool_action_count,11.0
27,no_history,tool_action_count,11.0
28,no_history,tool_action_count,11.0
29,no_history,tool_action_count,11.0
30,no_history,tool_action_count,11.0
1,no_reasoning,task_success,0.0
2,no_reasoning,task_success,0.0
3,no_reasoning,task_success,0.0
4,no_reasoning,task_success,0.0
5,no_reasoning,task_success,0.0
6,no_reasoning,task_success,0.0
7,no_reasoning,task_success,0.0
8,no_reasoning,task_success,0.0
9,no_reasoning,task_success,0.0
10,no_reasoning,task_success,0.0
11,no_reasoning,task_success,0.0
12,no_reasoning,task_success,0.0
13,no_reasoning,task_success,0.0
14,no_reasoning,task_success,0.0
15,no_reasoning,task_success,0.0
16,no_reasoning,task_success,0.0
17,no_reasoning,task_success,-1.0
18,no_reasoning,task_success,0.0
19,no_reasoning,task_success,0.0
20,no_reasoning,task_success,0.0
21,no_reasoning,task_success,-1.0
22,no_reasoning,task_success,0.0
23,no_reasoning,task_success,0.0
24,no_reasoning,task_success,0.0
25,no_reasoning,task_success,0.0
26,no_reasoning,task_success,0.0
27,no_reasoning,task_success,0.0
28,no_reasoning,task_success,0.0
29,no_reasoning,task_success,0.0
30,no_reasoning,task_success,0.0
1,no_reasoning,local_context_total,-147.0
2,no_reasoning,local_context_total,-205.0
3,no_reasoning,local_context_total,-325.0
4,no_reasoning,local_context_total,-307.0
5,no_reasoning,local_context_total,-255.0
6,no_reasoning,local_context_total,-162.0
7,no_reasoning,local_context_total,-356.0
8,no_reasoning,local_context_total,-487.0
9,no_reasoning,local_context_total,-277.0
10,no_reasoning,local_context_total,-68.0
11,no_reasoning,local_context_total,-494.0
12,no_reasoning,local_context_total,-163.0
13,no_reasoning,local_context_total,-575.0
14,no_reasoning,local_context_total,-70.0
15,no_reasoning,local_context_total,-586.0
16,no_reasoning,local_context_total,-466.0
17,no_reasoning,local_context_total,-190.0
18,no_reasoning,local_context_total,-291.0
19,no_reasoning,local_context_total,-355.0
20,no_reasoning,local_context_total,-491.0
21,no_reasoning,local_context_total,-602.0
22,no_reasoning,local_context_total,-334.0
23,no_reasoning,local_context_total,-349.0
24,no_reasoning,local_context_total,-125.0
25,no_reasoning,local_context_total,8.0
26,no_reasoning,local_context_total,-710.0
27,no_reasoning,local_context_total,125.0
28,no_reasoning,local_context_total,-239.0
29,no_reasoning,local_context_total,-249.0
30,no_reasoning,local_context_total,-758.0
1,no_reasoning,task_wall_seconds,-2.094000000040978
2,no_reasoning,task_wall_seconds,-0.29599999997299165
3,no_reasoning,task_wall_seconds,5.546000000031199
4,no_reasoning,task_wall_seconds,-3.235000000044238
5,no_reasoning,task_wall_seconds,2.344000000040978
6,no_reasoning,task_wall_seconds,5.673000000009779
7,no_reasoning,task_wall_seconds,-3.4369999999762513
8,no_reasoning,task_wall_seconds,-1.422000000020489
9,no_reasoning,task_wall_seconds,-1.077999999979511
10,no_reasoning,task_wall_seconds,22.844000000040978
11,no_reasoning,task_wall_seconds,-5.64100000000326
12,no_reasoning,task_wall_seconds,-1.875
13,no_reasoning,task_wall_seconds,-22.40500000002794
14,no_reasoning,task_wall_seconds,10.28100000001723
15,no_reasoning,task_wall_seconds,-4.186999999976251
16,no_reasoning,task_wall_seconds,-2.1709999999729916
17,no_reasoning,task_wall_seconds,4.592999999993481
18,no_reasoning,task_wall_seconds,-22.14100000000326
19,no_reasoning,task_wall_seconds,0.7650000000139698
20,no_reasoning,task_wall_seconds,-3.6410000000032596
21,no_reasoning,task_wall_seconds,-1.422000000020489
22,no_reasoning,task_wall_seconds,-8.468999999924563
23,no_reasoning,task_wall_seconds,-14.10899999999674
24,no_reasoning,task_wall_seconds,4.813000000023749
25,no_reasoning,task_wall_seconds,7.859000000054948
26,no_reasoning,task_wall_seconds,5.327999999979511
27,no_reasoning,task_wall_seconds,0.5940000000409782
28,no_reasoning,task_wall_seconds,-21.65600000001723
29,no_reasoning,task_wall_seconds,0.39000000001396984
30,no_reasoning,task_wall_seconds,-10.047000000020489
1,no_reasoning,cost_cny,-0.02484
2,no_reasoning,cost_cny,0.0006240000000000134
3,no_reasoning,cost_cny,-0.0038839999999999986
4,no_reasoning,cost_cny,-0.013231999999999994
5,no_reasoning,cost_cny,-0.0010999999999999899
6,no_reasoning,cost_cny,0.007660000000000014
7,no_reasoning,cost_cny,-0.039328
8,no_reasoning,cost_cny,-0.023031999999999997
9,no_reasoning,cost_cny,-0.004931999999999992
10,no_reasoning,cost_cny,0.028555999999999984
11,no_reasoning,cost_cny,-0.029172000000000003
12,no_reasoning,cost_cny,-0.022292000000000006
13,no_reasoning,cost_cny,-0.09370799999999999
14,no_reasoning,cost_cny,0.029092000000000007
15,no_reasoning,cost_cny,-0.029820000000000013
16,no_reasoning,cost_cny,-0.02061199999999999
17,no_reasoning,cost_cny,0.027508000000000005
18,no_reasoning,cost_cny,-0.02342799999999999
19,no_reasoning,cost_cny,-0.021108000000000016
20,no_reasoning,cost_cny,-0.017012
21,no_reasoning,cost_cny,-0.08657999999999999
22,no_reasoning,cost_cny,-0.023172000000000012
23,no_reasoning,cost_cny,-0.014188000000000006
24,no_reasoning,cost_cny,0.012732000000000007
25,no_reasoning,cost_cny,0.011343999999999993
26,no_reasoning,cost_cny,-0.030924000000000007
27,no_reasoning,cost_cny,0.01108400000000001
28,no_reasoning,cost_cny,-0.042756000000000016
29,no_reasoning,cost_cny,0.012027999999999983
30,no_reasoning,cost_cny,-0.025851999999999986
1,no_reasoning,tool_action_count,0.0
2,no_reasoning,tool_action_count,0.0
3,no_reasoning,tool_action_count,0.0
4,no_reasoning,tool_action_count,0.0
5,no_reasoning,tool_action_count,0.0
6,no_reasoning,tool_action_count,0.0
7,no_reasoning,tool_action_count,0.0
8,no_reasoning,tool_action_count,0.0
9,no_reasoning,tool_action_count,0.0
10,no_reasoning,tool_action_count,0.0
11,no_reasoning,tool_action_count,0.0
12,no_reasoning,tool_action_count,0.0
13,no_reasoning,tool_action_count,0.0
14,no_reasoning,tool_action_count,0.0
15,no_reasoning,tool_action_count,0.0
16,no_reasoning,tool_action_count,0.0
17,no_reasoning,tool_action_count,0.0
18,no_reasoning,tool_action_count,0.0
19,no_reasoning,tool_action_count,0.0
20,no_reasoning,tool_action_count,0.0
21,no_reasoning,tool_action_count,0.0
22,no_reasoning,tool_action_count,0.0
23,no_reasoning,tool_action_count,0.0
24,no_reasoning,tool_action_count,0.0
25,no_reasoning,tool_action_count,0.0
26,no_reasoning,tool_action_count,0.0
27,no_reasoning,tool_action_count,0.0
28,no_reasoning,tool_action_count,0.0
29,no_reasoning,tool_action_count,0.0
30,no_reasoning,tool_action_count,0.0
1,no_tool_calls,task_success,-1.0
2,no_tool_calls,task_success,-1.0
3,no_tool_calls,task_success,-1.0
4,no_tool_calls,task_success,-1.0
5,no_tool_calls,task_success,-1.0
6,no_tool_calls,task_success,-1.0
7,no_tool_calls,task_success,-1.0
8,no_tool_calls,task_success,-1.0
9,no_tool_calls,task_success,-1.0
10,no_tool_calls,task_success,-1.0
11,no_tool_calls,task_success,-1.0
12,no_tool_calls,task_success,-1.0
13,no_tool_calls,task_success,-1.0
14,no_tool_calls,task_success,-1.0
15,no_tool_calls,task_success,-1.0
16,no_tool_calls,task_success,-1.0
17,no_tool_calls,task_success,-1.0
18,no_tool_calls,task_success,-1.0
19,no_tool_calls,task_success,-1.0
20,no_tool_calls,task_success,-1.0
21,no_tool_calls,task_success,-1.0
22,no_tool_calls,task_success,-1.0
23,no_tool_calls,task_success,-1.0
24,no_tool_calls,task_success,-1.0
25,no_tool_calls,task_success,-1.0
26,no_tool_calls,task_success,-1.0
27,no_tool_calls,task_success,-1.0
28,no_tool_calls,task_success,-1.0
29,no_tool_calls,task_success,-1.0
30,no_tool_calls,task_success,-1.0
1,no_tool_calls,local_context_total,-3696.0
2,no_tool_calls,local_context_total,-3699.0
3,no_tool_calls,local_context_total,-3761.0
4,no_tool_calls,local_context_total,-3727.0
5,no_tool_calls,local_context_total,-3688.0
6,no_tool_calls,local_context_total,-3590.0
7,no_tool_calls,local_context_total,-3833.0
8,no_tool_calls,local_context_total,-3829.0
9,no_tool_calls,local_context_total,-3678.0
10,no_tool_calls,local_context_total,-3524.0
11,no_tool_calls,local_context_total,-3865.0
12,no_tool_calls,local_context_total,-3719.0
13,no_tool_calls,local_context_total,-4070.0
14,no_tool_calls,local_context_total,-3657.0
15,no_tool_calls,local_context_total,-3798.0
16,no_tool_calls,local_context_total,-3905.0
17,no_tool_calls,local_context_total,-3631.0
18,no_tool_calls,local_context_total,-3480.0
19,no_tool_calls,local_context_total,-3749.0
20,no_tool_calls,local_context_total,-3868.0
21,no_tool_calls,local_context_total,-3700.0
22,no_tool_calls,local_context_total,-3795.0
23,no_tool_calls,local_context_total,-3788.0
24,no_tool_calls,local_context_total,-3284.0
25,no_tool_calls,local_context_total,-3382.0
26,no_tool_calls,local_context_total,-3859.0
27,no_tool_calls,local_context_total,-3357.0
28,no_tool_calls,local_context_total,-3755.0
29,no_tool_calls,local_context_total,-3649.0
30,no_tool_calls,local_context_total,-3906.0
1,no_tool_calls,task_wall_seconds,-10.313000000023749
2,no_tool_calls,task_wall_seconds,93.2510000000475
3,no_tool_calls,task_wall_seconds,19.35899999999674
4,no_tool_calls,task_wall_seconds,-4.813000000023749
5,no_tool_calls,task_wall_seconds,-0.125
6,no_tool_calls,task_wall_seconds,11.76699999999255
7,no_tool_calls,task_wall_seconds,35.98500000004424
8,no_tool_calls,task_wall_seconds,49.29700000002049
9,no_tool_calls,task_wall_seconds,102.50000000005821
10,no_tool_calls,task_wall_seconds,224.46900000004098
11,no_tool_calls,task_wall_seconds,-17.96799999999348
12,no_tool_calls,task_wall_seconds,-20.81300000002375
13,no_tool_calls,task_wall_seconds,-17.70300000003772
14,no_tool_calls,task_wall_seconds,20.76600000000326
15,no_tool_calls,task_wall_seconds,-14.01600000000326
16,no_tool_calls,task_wall_seconds,63.01600000000326
17,no_tool_calls,task_wall_seconds,-18.71899999998277
18,no_tool_calls,task_wall_seconds,-23.46899999998277
19,no_tool_calls,task_wall_seconds,-8.39100000000326
20,no_tool_calls,task_wall_seconds,-12.10999999998603
21,no_tool_calls,task_wall_seconds,-37.42200000002049
22,no_tool_calls,task_wall_seconds,-11.061999999976251
23,no_tool_calls,task_wall_seconds,28.59299999999348
24,no_tool_calls,task_wall_seconds,-5.35999999998603
25,no_tool_calls,task_wall_seconds,-2.0619999999762513
26,no_tool_calls,task_wall_seconds,-9.89100000000326
27,no_tool_calls,task_wall_seconds,9.35999999998603
28,no_tool_calls,task_wall_seconds,-5.9060000000172295
29,no_tool_calls,task_wall_seconds,-21.46899999998277
30,no_tool_calls,task_wall_seconds,-17.14100000000326
1,no_tool_calls,cost_cny,-0.052543999999999993
2,no_tool_calls,cost_cny,0.19218800000000003
3,no_tool_calls,cost_cny,0.0011639999999999984
4,no_tool_calls,cost_cny,-0.068256
5,no_tool_calls,cost_cny,-0.05458400000000001
6,no_tool_calls,cost_cny,-0.0033239999999999936
7,no_tool_calls,cost_cny,0.015907999999999978
8,no_tool_calls,cost_cny,0.11210400000000001
9,no_tool_calls,cost_cny,0.261924
10,no_tool_calls,cost_cny,0.700796
11,no_tool_calls,cost_cny,-0.119016
12,no_tool_calls,cost_cny,-0.14463600000000001
13,no_tool_calls,cost_cny,-0.141648
14,no_tool_calls,cost_cny,0.011936000000000002
15,no_tool_calls,cost_cny,-0.100776
16,no_tool_calls,cost_cny,0.13188399999999997
17,no_tool_calls,cost_cny,-0.110636
18,no_tool_calls,cost_cny,-0.07202399999999999
19,no_tool_calls,cost_cny,-0.082112
20,no_tool_calls,cost_cny,-0.088976
21,no_tool_calls,cost_cny,-0.149808
22,no_tool_calls,cost_cny,-0.06401600000000002
23,no_tool_calls,cost_cny,0.10510799999999998
24,no_tool_calls,cost_cny,-0.049804
25,no_tool_calls,cost_cny,-0.04359600000000001
26,no_tool_calls,cost_cny,-0.093028
27,no_tool_calls,cost_cny,-0.015395999999999993
28,no_tool_calls,cost_cny,-0.04500800000000002
29,no_tool_calls,cost_cny,-0.085396
30,no_tool_calls,cost_cny,-0.06333599999999999
1,no_tool_calls,tool_action_count,-4.0
2,no_tool_calls,tool_action_count,-4.0
3,no_tool_calls,tool_action_count,-4.0
4,no_tool_calls,tool_action_count,-4.0
5,no_tool_calls,tool_action_count,-4.0
6,no_tool_calls,tool_action_count,-4.0
7,no_tool_calls,tool_action_count,-4.0
8,no_tool_calls,tool_action_count,-4.0
9,no_tool_calls,tool_action_count,-4.0
10,no_tool_calls,tool_action_count,-4.0
11,no_tool_calls,tool_action_count,-4.0
12,no_tool_calls,tool_action_count,-4.0
13,no_tool_calls,tool_action_count,-4.0
14,no_tool_calls,tool_action_count,-4.0
15,no_tool_calls,tool_action_count,-4.0
16,no_tool_calls,tool_action_count,-4.0
17,no_tool_calls,tool_action_count,-4.0
18,no_tool_calls,tool_action_count,-4.0
19,no_tool_calls,tool_action_count,-4.0
20,no_tool_calls,tool_action_count,-4.0
21,no_tool_calls,tool_action_count,-4.0
22,no_tool_calls,tool_action_count,-4.0
23,no_tool_calls,tool_action_count,-4.0
24,no_tool_calls,tool_action_count,-4.0
25,no_tool_calls,tool_action_count,-4.0
26,no_tool_calls,tool_action_count,-4.0
27,no_tool_calls,tool_action_count,-4.0
28,no_tool_calls,tool_action_count,-4.0
29,no_tool_calls,tool_action_count,-4.0
30,no_tool_calls,tool_action_count,-4.0
1,no_tool_results,task_success,-1.0
2,no_tool_results,task_success,-1.0
3,no_tool_results,task_success,-1.0
4,no_tool_results,task_success,-1.0
5,no_tool_results,task_success,-1.0
6,no_tool_results,task_success,-1.0
7,no_tool_results,task_success,-1.0
8,no_tool_results,task_success,0.0
9,no_tool_results,task_success,-1.0
10,no_tool_results,task_success,-1.0
11,no_tool_results,task_success,-1.0
12,no_tool_results,task_success,-1.0
13,no_tool_results,task_success,-1.0
14,no_tool_results,task_success,-1.0
15,no_tool_results,task_success,-1.0
16,no_tool_results,task_success,-1.0
17,no_tool_results,task_success,-1.0
18,no_tool_results,task_success,-1.0
19,no_tool_results,task_success,-1.0
20,no_tool_results,task_success,-1.0
21,no_tool_results,task_success,-1.0
22,no_tool_results,task_success,-1.0
23,no_tool_results,task_success,-1.0
24,no_tool_results,task_success,-1.0
25,no_tool_results,task_success,-1.0
26,no_tool_results,task_success,-1.0
27,no_tool_results,task_success,-1.0
28,no_tool_results,task_success,-1.0
29,no_tool_results,task_success,-1.0
30,no_tool_results,task_success,-1.0
1,no_tool_results,local_context_total,2407.0
2,no_tool_results,local_context_total,-886.0
3,no_tool_results,local_context_total,1175.0
4,no_tool_results,local_context_total,3024.0
5,no_tool_results,local_context_total,-666.0
6,no_tool_results,local_context_total,2484.0
7,no_tool_results,local_context_total,2284.0
8,no_tool_results,local_context_total,-722.0
9,no_tool_results,local_context_total,3270.0
10,no_tool_results,local_context_total,-148.0
11,no_tool_results,local_context_total,1849.0
12,no_tool_results,local_context_total,2991.0
13,no_tool_results,local_context_total,-1031.0
14,no_tool_results,local_context_total,-890.0
15,no_tool_results,local_context_total,729.0
16,no_tool_results,local_context_total,-792.0
17,no_tool_results,local_context_total,1827.0
18,no_tool_results,local_context_total,-746.0
19,no_tool_results,local_context_total,-769.0
20,no_tool_results,local_context_total,3381.0
21,no_tool_results,local_context_total,3714.0
22,no_tool_results,local_context_total,-711.0
23,no_tool_results,local_context_total,-1004.0
24,no_tool_results,local_context_total,2984.0
25,no_tool_results,local_context_total,-326.0
26,no_tool_results,local_context_total,2403.0
27,no_tool_results,local_context_total,2697.0
28,no_tool_results,local_context_total,2528.0
29,no_tool_results,local_context_total,2829.0
30,no_tool_results,local_context_total,3158.0
1,no_tool_results,task_wall_seconds,25.60999999998603
2,no_tool_results,task_wall_seconds,-1.1399999999557622
3,no_tool_results,task_wall_seconds,58.34299999999348
4,no_tool_results,task_wall_seconds,15.01500000001397
5,no_tool_results,task_wall_seconds,4.578999999968801
6,no_tool_results,task_wall_seconds,11.579000000027008
7,no_tool_results,task_wall_seconds,13.188000000023749
8,no_tool_results,task_wall_seconds,-1.202999999979511
9,no_tool_results,task_wall_seconds,37.11000000004424
10,no_tool_results,task_wall_seconds,48.79700000002049
11,no_tool_results,task_wall_seconds,20.07799999997951
12,no_tool_results,task_wall_seconds,23.79599999997299
13,no_tool_results,task_wall_seconds,-22.547000000078697
14,no_tool_results,task_wall_seconds,3.9689999999827705
15,no_tool_results,task_wall_seconds,10.780999999959022
16,no_tool_results,task_wall_seconds,-1.202999999979511
17,no_tool_results,task_wall_seconds,5.079000000027008
18,no_tool_results,task_wall_seconds,-25.48499999998603
19,no_tool_results,task_wall_seconds,-1.2660000000032596
20,no_tool_results,task_wall_seconds,38.84399999998277
21,no_tool_results,task_wall_seconds,45.77999999996973
